erp,metric,Algorithm,value,Entropy
erp,Density,Greedy,0.01,Features
erp,Density,Greedy,0.02,Features
erp,Density,Greedy,0.02,Features
erp,Density,Greedy,0.02,Features
erp,Density,Greedy,0.01,Features
erp,Density,Hierarchical,0.03,Features
erp,Density,Hierarchical,0.01,Features
erp,Density,Hierarchical,0.01,Features
erp,Density,Hierarchical,0.01,Features
erp,Density,Hierarchical,0.01,Features
erp,Density,Genetic,0.01,Features
erp,Density,Genetic,0.01,Features
erp,Density,Genetic,0.02,Features
erp,Density,Genetic,0.01,Features
erp,Density,Genetic,0.01,Features
erp,CC,Greedy,189,Features
erp,CC,Greedy,66,Features
erp,CC,Greedy,97,Features
erp,CC,Greedy,83,Features
erp,CC,Greedy,225,Features
erp,CC,Hierarchical,89,Features
erp,CC,Hierarchical,138,Features
erp,CC,Hierarchical,189,Features
erp,CC,Hierarchical,188,Features
erp,CC,Hierarchical,153,Features
erp,CC,Genetic,1411,Features
erp,CC,Genetic,50,Features
erp,CC,Genetic,61,Features
erp,CC,Genetic,47,Features
erp,CC,Genetic,1411,Features
erp,CNC,Greedy,4.73,Features
erp,CNC,Greedy,1.48,Features
erp,CNC,Greedy,1.6,Features
erp,CNC,Greedy,1.48,Features
erp,CNC,Greedy,4.9,Features
erp,CNC,Hierarchical,2.13,Features
erp,CNC,Hierarchical,1.86,Features
erp,CNC,Hierarchical,2.08,Features
erp,CNC,Hierarchical,2.07,Features
erp,CNC,Hierarchical,2.06,Features
erp,CNC,Genetic,4.73,Features
erp,CNC,Genetic,1.48,Features
erp,CNC,Genetic,1.6,Features
erp,CNC,Genetic,1.48,Features
erp,CNC,Genetic,4.9,Features
erp,CFC,Greedy,187,Features
erp,CFC,Greedy,64,Features
erp,CFC,Greedy,95,Features
erp,CFC,Greedy,81,Features
erp,CFC,Greedy,223,Features
erp,CFC,Hierarchical,87,Features
erp,CFC,Hierarchical,136,Features
erp,CFC,Hierarchical,187,Features
erp,CFC,Hierarchical,186,Features
erp,CFC,Hierarchical,151,Features
erp,CFC,Genetic,1408,Features
erp,CFC,Genetic,48,Features
erp,CFC,Genetic,59,Features
erp,CFC,Genetic,45,Features
erp,CFC,Genetic,1492,Features
erp,Quality,Greedy,82.17,Features
erp,Quality,Greedy,71.79,Features
erp,Quality,Greedy,62.42,Features
erp,Quality,Greedy,72.71,Features
erp,Quality,Greedy,53.88,Features
erp,Quality,Hierarchical,45.94,Features
erp,Quality,Hierarchical,143.47,Features
erp,Quality,Hierarchical,82.17,Features
erp,Quality,Hierarchical,2.4,Features
erp,Quality,Hierarchical,21.09,Features
erp,Quality,Genetic,320,Features
erp,Quality,Genetic,64.28,Features
erp,Quality,Genetic,57.75,Features
erp,Quality,Genetic,49,Features
erp,Quality,Genetic,271.17,Features
erp,Density,Greedy,0.02,Transitions
erp,Density,Greedy,0.01,Transitions
erp,Density,Greedy,0.01,Transitions
erp,Density,Hierarchical,0.01,Transitions
erp,Density,Hierarchical,0.01,Transitions
erp,Density,Hierarchical,0.01,Transitions
erp,Density,Genetic,0.01,Transitions
erp,Density,Genetic,0.01,Transitions
erp,Density,Genetic,0.01,Transitions
erp,CC,Greedy,114,Transitions
erp,CC,Greedy,314,Transitions
erp,CC,Greedy,1405,Transitions
erp,CC,Hierarchical,330,Transitions
erp,CC,Hierarchical,183,Transitions
erp,CC,Hierarchical,188,Transitions
erp,CC,Genetic,1097,Transitions
erp,CC,Genetic,1032,Transitions
erp,CC,Genetic,1437,Transitions
erp,CNC,Greedy,2.03,Transitions
erp,CNC,Greedy,2.08,Transitions
erp,CNC,Greedy,4.88,Transitions
erp,CNC,Hierarchical,2.03,Transitions
erp,CNC,Hierarchical,1.93,Transitions
erp,CNC,Hierarchical,2.07,Transitions
erp,CNC,Genetic,4.56,Transitions
erp,CNC,Genetic,4.45,Transitions
erp,CNC,Genetic,4.64,Transitions
erp,CFC,Greedy,112,Transitions
erp,CFC,Greedy,312,Transitions
erp,CFC,Greedy,1403,Transitions
erp,CFC,Hierarchical,329,Transitions
erp,CFC,Hierarchical,181,Transitions
erp,CFC,Hierarchical,186,Transitions
erp,CFC,Genetic,1094,Transitions
erp,CFC,Genetic,1030,Transitions
erp,CFC,Genetic,1434,Transitions
erp,Quality,Greedy,72.67,Transitions
erp,Quality,Greedy,231.94,Transitions
erp,Quality,Greedy,287.9,Transitions
erp,Quality,Hierarchical,214.83,Transitions
erp,Quality,Hierarchical,171.41,Transitions
erp,Quality,Hierarchical,2.4,Transitions
erp,Quality,Genetic,238,Transitions
erp,Quality,Genetic,231.88,Transitions
erp,Quality,Genetic,2328,Transitions
